TaxID Proveedor;Nombre Proveedor;N° Cotizacion;TaxID Comprador;Nombre Comprador;Usuario Comprador;Nombre Cotización;Fecha de creacion;Fecha de Publicación;Fecha de Cierre;RFQ Visualizada;RFQ Aceptada;RFQ Rechazada;RFQ Ofertada;Razon de rechazo;% Ofertas en RFQ;source
0-01296195;EAANNOS SELLADOS;6000057298;6-00040629;EMNALEO SA;farozas;6000057298 CONSOLA PARA DGS DE COMPRESOR J-721;2023-11-21 17:35:58.297;2023-11-22 00:03:41.097;2024-07-31 03:00:00.000;SI;SI;NO;NO;NULL;0;Directa
2-20418077;SIENEPA SPA;6000057298;6-00040629;EMNALEO SA;farozas;6000057298 CONSOLA PARA DGS DE COMPRESOR J-721;2023-11-21 17:35:58.297;2023-11-22 00:03:41.097;2024-07-31 03:00:00.000;SI;SI;NO;NO;NULL;0;Directa
5-05671599;JONE SA SA;6000057298;6-00040629;EMNALEO SA;farozas;6000057298 CONSOLA PARA DGS DE COMPRESOR J-721;2023-11-21 17:35:58.297;2023-11-22 00:03:41.097;2024-07-31 03:00:00.000;SI;SI;NO;NO;NULL;0;Directa
K-08595969;FLE CSA SA;6000057298;6-00040629;EMNALEO SA;farozas;6000057298 CONSOLA PARA DGS DE COMPRESOR J-721;2023-11-21 17:35:58.297;2023-11-22 00:03:41.097;2024-07-31 03:00:00.000;SI;SI;NO;NO;NULL;0;Directa
6-00246698;FLIDTSA SA;6000043884;1-08581477;MACOP S.A;mperez;10151073 10151074;2023-11-21 19:06:00.613;2023-11-30 11:15:48.143;2024-02-12 13:00:00.000;SI;SI;NO;NO;NULL;0;Directa
0-04518969;VAS CSA SA;6000043987;1-08581477;MACOP S.A;hzepeda;10152914;2023-11-23 03:35:56.987;2023-11-23 18:49:42.170;2024-02-05 03:00:00.000;SI;NO;SI;NO;OTRO;14;Directa
2-09470569;SO CHSA SA;6000043987;1-08581477;MACOP S.A;hzepeda;10152914;2023-11-23 03:35:56.987;2023-11-23 18:49:42.170;2024-02-05 03:00:00.000;NO;NO;NO;NO;NULL;14;Directa
4-26130367;VA PRDA LIMITADA;6000043987;1-08581477;MACOP S.A;hzepeda;10152914;2023-11-23 03:35:56.987;2023-11-23 18:49:42.170;2024-02-05 03:00:00.000;SI;NO;NO;NO;NULL;14;Directa
4-63726067;ATEXISA SA;6000043987;1-08581477;MACOP S.A;hzepeda;10152914;2023-11-23 03:35:56.987;2023-11-23 18:49:42.170;2024-02-05 03:00:00.000;SI;SI;NO;SI;NULL;14;Directa
5-02326569;MOGIASA SA;6000043987;1-08581477;MACOP S.A;hzepeda;10152914;2023-11-23 03:35:56.987;2023-11-23 18:49:42.170;2024-02-05 03:00:00.000;SI;NO;NO;NO;NULL;14;Directa
5-13915867;TA SEPA SPA;6000043987;1-08581477;MACOP S.A;hzepeda;10152914;2023-11-23 03:35:56.987;2023-11-23 18:49:42.170;2024-02-05 03:00:00.000;NO;NO;NO;NO;NULL;14;Directa
K-59674567;DELUXSA SA;6000043987;1-08581477;MACOP S.A;hzepeda;10152914;2023-11-23 03:35:56.987;2023-11-23 18:49:42.170;2024-02-05 03:00:00.000;NO;NO;NO;NO;NULL;14;Directa
K-20181567;INRIADA RDA;519676;K-09518067;SIGORCM SA;avargas;BUJE TEFLON;2023-11-23 14:30:59.757;2023-11-24 15:28:43.617;2024-02-02 17:00:00.000;SI;SI;NO;NO;NULL;0;Directa
0-00267569;DAEXIDA LTDA;519968;K-09518067;SIGORCM SA;mardiles;"CONEXION T TUBO ½""PRINCIPAL (RUN) GIRATORIA MPT";2023-11-27 19:40:58.223;2023-11-30 20:29:52.017;2024-02-08 20:00:00.000;NO;NO;NO;NO;NULL;0;Directa
1-10300167;NOCA DA LTDA;519968;K-09518067;SIGORCM SA;mardiles;"CONEXION T TUBO ½""PRINCIPAL (RUN) GIRATORIA MPT";2023-11-27 19:40:58.223;2023-11-30 20:29:52.017;2024-02-08 20:00:00.000;SI;NO;SI;NO;Fuera de mi rubro;0;Directa
4-69072667;FAUSTRL EIRL;519968;K-09518067;SIGORCM SA;mardiles;"CONEXION T TUBO ½""PRINCIPAL (RUN) GIRATORIA MPT";2023-11-27 19:40:58.223;2023-11-30 20:29:52.017;2024-02-08 20:00:00.000;SI;NO;NO;NO;NULL;0;Directa
5-41204167;SENSUSA SA;519968;K-09518067;SIGORCM SA;mardiles;"CONEXION T TUBO ½""PRINCIPAL (RUN) GIRATORIA MPT";2023-11-27 19:40:58.223;2023-11-30 20:29:52.017;2024-02-08 20:00:00.000;NO;NO;NO;NO;NULL;0;Directa
8-42353067;SEIALSA SA;519968;K-09518067;SIGORCM SA;mardiles;"CONEXION T TUBO ½""PRINCIPAL (RUN) GIRATORIA MPT";2023-11-27 19:40:58.223;2023-11-30 20:29:52.017;2024-02-08 20:00:00.000;SI;NO;NO;NO;NULL;0;Directa
5-55731667;COCO PA SPA;6000044044;1-08581477;MACOP S.A;kmerida;10152837;2023-11-28 03:30:57.090;2023-11-30 14:11:07.513;2024-02-02 15:00:00.000;SI;NO;NO;NO;NULL;0;Directa
9-01117969;LUTROSA SA;6000044051;1-08581477;MACOP S.A;kmerida;10152634;2023-11-28 03:55:57.280;2023-11-30 14:32:56.857;2024-02-15 15:30:00.000;SI;NO;NO;NO;NULL;0;Directa
K-00059949;SIIEDMA ANONIMA;6000044051;1-08581477;MACOP S.A;kmerida;10152634;2023-11-28 03:55:57.280;2023-11-30 14:32:56.857;2024-02-15 15:30:00.000;SI;NO;SI;NO;OTRO;0;Directa
0-00070759;VEECNSA SA;6000044093;1-08581477;MACOP S.A;kmerida;10152515 10152872 10152135 10153248 10152883 10152884 10153237;2023-11-28 20:50:58.720;2023-12-06 01:47:27.060;2024-02-15 15:30:00.000;SI;SI;NO;NO;NULL;0;Catalogo
2-01092697;CHTIODA LTDA;6000044093;1-08581477;MACOP S.A;kmerida;10152515 10152872 10152135 10153248 10152883 10152884 10153237;2023-11-28 20:50:58.720;2023-12-06 01:47:27.060;2024-02-15 15:30:00.000;SI;NO;NO;NO;NULL;0;Catalogo
3-90745067;STNDUDA LTDA;6000044093;1-08581477;MACOP S.A;kmerida;10152515 10152872 10152135 10153248 10152883 10152884 10153237;2023-11-28 20:50:58.720;2023-12-06 01:47:27.060;2024-02-15 15:30:00.000;NO;NO;NO;NO;NULL;0;Catalogo
4-03906877;FL MAPA SPA;6000044093;1-08581477;MACOP S.A;kmerida;10152515 10152872 10152135 10153248 10152883 10152884 10153237;2023-11-28 20:50:58.720;2023-12-06 01:47:27.060;2024-02-15 15:30:00.000;SI;SI;NO;NO;NULL;0;Catalogo
6-04907267;SOTS DA LTDA;6000044093;1-08581477;MACOP S.A;kmerida;10152515 10152872 10152135 10153248 10152883 10152884 10153237;2023-11-28 20:50:58.720;2023-12-06 01:47:27.060;2024-02-15 15:30:00.000;NO;NO;NO;NO;NULL;0;Catalogo
8-00304118;WIINDSA SA;6000044093;1-08581477;MACOP S.A;kmerida;10152515 10152872 10152135 10153248 10152883 10152884 10153237;2023-11-28 20:50:58.720;2023-12-06 01:47:27.060;2024-02-15 15:30:00.000;NO;NO;NO;NO;NULL;0;Catalogo
8-10025767;ALUSTSA SA;6000044093;1-08581477;MACOP S.A;kmerida;10152515 10152872 10152135 10153248 10152883 10152884 10153237;2023-11-28 20:50:58.720;2023-12-06 01:47:27.060;2024-02-15 15:30:00.000;SI;SI;NO;NO;NULL;0;Catalogo
8-45423051;FRIO GA VEGA;6000044093;1-08581477;MACOP S.A;kmerida;10152515 10152872 10152135 10153248 10152883 10152884 10153237;2023-11-28 20:50:58.720;2023-12-06 01:47:27.060;2024-02-15 15:30:00.000;NO;NO;NO;NO;NULL;0;Catalogo
K-07264587;JOR LDA LTDA;6000044093;1-08581477;MACOP S.A;kmerida;10152515 10152872 10152135 10153248 10152883 10152884 10153237;2023-11-28 20:50:58.720;2023-12-06 01:47:27.060;2024-02-15 15:30:00.000;SI;NO;NO;NO;NULL;0;Catalogo
1-00003729;MAA DSA SA;6000057859;6-00040629;EMNALEO SA;nandradeh;REPUESTOS MANTECION OLAER;2023-12-12 11:31:04.757;2023-12-14 12:15:49.107;2024-02-20 02:55:00.000;SI;SI;NO;NO;NULL;0;Directa
0-00077039;METECPA SPA;6000044321;1-08581477;MACOP S.A;phurtado;10153652;2023-12-12 12:41:05.057;2023-12-12 12:49:15.397;2024-02-19 20:00:00.000;SI;NO;NO;NO;NULL;0;Directa
2-00016229;INLURSA SA;6000044321;1-08581477;MACOP S.A;phurtado;10153652;2023-12-12 12:41:05.057;2023-12-12 12:49:15.397;2024-02-19 20:00:00.000;SI;NO;NO;NO;NULL;0;Directa
2-00092259;FEAMUSA SA;6000044321;1-08581477;MACOP S.A;phurtado;10153652;2023-12-12 12:41:05.057;2023-12-12 12:49:15.397;2024-02-19 20:00:00.000;SI;NO;SI;NO;Fuera de mi rubro;0;Directa
5-01665869;TECOBDA LIMITADA;6000044321;1-08581477;MACOP S.A;phurtado;10153652;2023-12-12 12:41:05.057;2023-12-12 12:49:15.397;2024-02-19 20:00:00.000;SI;NO;NO;NO;NULL;0;Directa
6-00246698;FLIDTSA SA;6000044321;1-08581477;MACOP S.A;phurtado;10153652;2023-12-12 12:41:05.057;2023-12-12 12:49:15.397;2024-02-19 20:00:00.000;SI;SI;NO;NO;NULL;0;Directa
6-04907267;SOTS DA LTDA;6000044321;1-08581477;MACOP S.A;phurtado;10153652;2023-12-12 12:41:05.057;2023-12-12 12:49:15.397;2024-02-19 20:00:00.000;SI;NO;NO;NO;NULL;0;Directa
8-00465138;TAS LSA SA;6000044321;1-08581477;MACOP S.A;phurtado;10153652;2023-12-12 12:41:05.057;2023-12-12 12:49:15.397;2024-02-19 20:00:00.000;SI;NO;NO;NO;NULL;0;Directa
8-11891267;CO BOPA SPA;6000044321;1-08581477;MACOP S.A;phurtado;10153652;2023-12-12 12:41:05.057;2023-12-12 12:49:15.397;2024-02-19 20:00:00.000;SI;NO;NO;NO;NULL;0;Directa
8-26271667;TO PAPA SPA;6000044321;1-08581477;MACOP S.A;phurtado;10153652;2023-12-12 12:41:05.057;2023-12-12 12:49:15.397;2024-02-19 20:00:00.000;SI;NO;NO;NO;NULL;0;Directa
K-07264587;JOR LDA LTDA;6000044321;1-08581477;MACOP S.A;phurtado;10153652;2023-12-12 12:41:05.057;2023-12-12 12:49:15.397;2024-02-19 20:00:00.000;SI;NO;NO;NO;NULL;0;Directa
0-00007909;SAN SSA SA;6000044323;1-08581477;MACOP S.A;kmerida;10153702 10153775;2023-12-12 12:51:04.957;2023-12-18 01:54:56.510;2024-02-05 21:00:00.000;SI;NO;NO;NO;NULL;0;Directa
0-08379897;REIKE A A;6000044323;1-08581477;MACOP S.A;kmerida;10153702 10153775;2023-12-12 12:51:04.957;2023-12-18 01:54:56.510;2024-02-05 21:00:00.000;SI;SI;NO;NO;NULL;0;Directa
4-90884267;ACOMIIN  ;6000044323;1-08581477;MACOP S.A;kmerida;10153702 10153775;2023-12-12 12:51:04.957;2023-12-18 01:54:56.510;2024-02-05 21:00:00.000;SI;NO;NO;NO;NULL;0;Catalogo
5-00044809;KUERMSA SA;6000044323;1-08581477;MACOP S.A;kmerida;10153702 10153775;2023-12-12 12:51:04.957;2023-12-18 01:54:56.510;2024-02-05 21:00:00.000;SI;NO;NO;NO;NULL;0;Directa
6-00123148;FETRODA LTDA;6000044323;1-08581477;MACOP S.A;kmerida;10153702 10153775;2023-12-12 12:51:04.957;2023-12-18 01:54:56.510;2024-02-05 21:00:00.000;NO;NO;NO;NO;NULL;0;Catalogo
K-07264587;JOR LDA LTDA;6000044323;1-08581477;MACOP S.A;kmerida;10153702 10153775;2023-12-12 12:51:04.957;2023-12-18 01:54:56.510;2024-02-05 21:00:00.000;SI;NO;NO;NO;NULL;0;Catalogo
6-00020439;MEA RSA SA;6000044347;1-08581477;MACOP S.A;kmerida;10153789;2023-12-12 18:41:05.177;2023-12-18 02:41:41.103;2024-02-02 15:00:00.000;SI;NO;NO;NO;NULL;0;Catalogo
6-02137577;MA FADA LTDA;6000044347;1-08581477;MACOP S.A;kmerida;10153789;2023-12-12 18:41:05.177;2023-12-18 02:41:41.103;2024-02-02 15:00:00.000;SI;NO;NO;NO;NULL;0;Directa
7-04315067;PEHERDA LTDA;6000044347;1-08581477;MACOP S.A;kmerida;10153789;2023-12-12 18:41:05.177;2023-12-18 02:41:41.103;2024-02-02 15:00:00.000;SI;NO;NO;NO;NULL;0;Catalogo
1-00294898;JOCIADA LTDA;6000044354;1-08581477;MACOP S.A;kmerida;10153777;2023-12-12 20:06:05.503;2023-12-18 02:57:14.187;2024-02-15 15:30:00.000;NO;NO;NO;NO;NULL;0;Catalogo
2-17894467;POOGIPA TRANSSPA;6000044354;1-08581477;MACOP S.A;kmerida;10153777;2023-12-12 20:06:05.503;2023-12-18 02:57:14.187;2024-02-15 15:30:00.000;NO;NO;NO;NO;NULL;0;Catalogo
4-41968267;COIZAYM CYM;6000044354;1-08581477;MACOP S.A;kmerida;10153777;2023-12-12 20:06:05.503;2023-12-18 02:57:14.187;2024-02-15 15:30:00.000;NO;NO;NO;NO;NULL;0;Catalogo
6-00020439;MEA RSA SA;6000044354;1-08581477;MACOP S.A;kmerida;10153777;2023-12-12 20:06:05.503;2023-12-18 02:57:14.187;2024-02-15 15:30:00.000;SI;NO;NO;NO;NULL;0;Catalogo
8909801-24;PRLLEER IDLER;6000044354;1-08581477;MACOP S.A;kmerida;10153777;2023-12-12 20:06:05.503;2023-12-18 02:57:14.187;2024-02-15 15:30:00.000;NO;NO;NO;NO;NULL;0;Catalogo
9-00015159;INTALET RIVET;6000044354;1-08581477;MACOP S.A;kmerida;10153777;2023-12-12 20:06:05.503;2023-12-18 02:57:14.187;2024-02-15 15:30:00.000;SI;SI;NO;NO;NULL;0;Catalogo
1-00056059;FULASSA SA;6000044355;1-08581477;MACOP S.A;kmerida;10153778 10153780;2023-12-12 20:06:06.160;2023-12-18 03:06:11.750;2024-02-15 17:00:00.000;SI;NO;NO;NO;NULL;0;Catalogo
1-00189118;JASENSA SA;6000044355;1-08581477;MACOP S.A;kmerida;10153778 10153780;2023-12-12 20:06:06.160;2023-12-18 03:06:11.750;2024-02-15 17:00:00.000;SI;NO;NO;NO;NULL;0;Catalogo
2-08372969;GLPEXPA SPA;6000044355;1-08581477;MACOP S.A;kmerida;10153778 10153780;2023-12-12 20:06:06.160;2023-12-18 03:06:11.750;2024-02-15 17:00:00.000;NO;NO;NO;NO;NULL;0;Catalogo
9-00014439;DUMERDA LTDA;6000044355;1-08581477;MACOP S.A;kmerida;10153778 10153780;2023-12-12 20:06:06.160;2023-12-18 03:06:11.750;2024-02-15 17:00:00.000;SI;SI;NO;NO;NULL;0;Directa
6-00002309;CORO SA SA;6000044366;1-08581477;MACOP S.A;kmerida;10153818 10153810;2023-12-13 03:15:54.613;2023-12-18 03:49:13.083;2024-02-15 17:00:00.000;SI;NO;NO;NO;NULL;0;Directa
6-00002309;CORO SA SA;6000044369;1-08581477;MACOP S.A;kmerida;10153983;2023-12-13 03:20:54.883;2023-12-18 03:58:34.847;2024-02-15 18:00:00.000;NO;NO;NO;NO;NULL;0;Directa
6-00246698;FLIDTSA SA;6000044375;1-08581477;MACOP S.A;kmerida;10153805 10153896;2023-12-13 04:05:54.690;2023-12-18 04:42:30.783;2024-02-16 19:00:00.000;SI;NO;NO;NO;NULL;0;Directa
7-03323977;INERVDA LTDA;6000044375;1-08581477;MACOP S.A;kmerida;10153805 10153896;2023-12-13 04:05:54.690;2023-12-18 04:42:30.783;2024-02-16 19:00:00.000;NO;NO;NO;NO;NULL;0;Directa
0103004;ITLDSPS PUMPS;6000044377;1-08581477;MACOP S.A;kmerida;10153807 10153895;2023-12-13 04:10:54.693;2023-12-18 06:05:48.297;2024-02-16 17:00:00.000;SI;NO;NO;NO;NULL;0;Directa
9-00871268;GL FLSA SA;6000044377;1-08581477;MACOP S.A;kmerida;10153807 10153895;2023-12-13 04:10:54.693;2023-12-18 06:05:48.297;2024-02-16 17:00:00.000;NO;NO;NO;NO;NULL;0;Directa
1-25976767;GRISEPA SPA;6000044407;1-08581477;MACOP S.A;kmerida;10153123;2023-12-13 20:20:56.533;2023-12-18 06:00:39.267;2024-02-16 20:00:00.000;SI;NO;NO;NO;NULL;0;Directa
6-03587669;BCNG SA SA;6000044407;1-08581477;MACOP S.A;kmerida;10153123;2023-12-13 20:20:56.533;2023-12-18 06:00:39.267;2024-02-16 20:00:00.000;NO;NO;NO;NO;NULL;0;Directa
9-00014439;DUMERDA LTDA;6000044407;1-08581477;MACOP S.A;kmerida;10153123;2023-12-13 20:20:56.533;2023-12-18 06:00:39.267;2024-02-16 20:00:00.000;NO;NO;NO;NO;NULL;0;Directa
0-06845487;MOSYSIA CIA;6000044410;1-08581477;MACOP S.A;kmerida;10153815;2023-12-13 21:10:56.400;2023-12-18 05:54:28.147;2024-02-16 20:03:00.000;SI;NO;SI;NO;Fuera de mi rubro;0;Catalogo
1-99430067;IN SOMA ANONIMA;6000044410;1-08581477;MACOP S.A;kmerida;10153815;2023-12-13 21:10:56.400;2023-12-18 05:54:28.147;2024-02-16 20:03:00.000;SI;NO;NO;NO;NULL;0;Catalogo
8-11891267;CO BOPA SPA;6000044410;1-08581477;MACOP S.A;kmerida;10153815;2023-12-13 21:10:56.400;2023-12-18 05:54:28.147;2024-02-16 20:03:00.000;SI;NO;NO;NO;NULL;0;Directa
4-01556797;INCO PA SPA;6000044432;1-08581477;MACOP S.A;hzepeda;10155390;2023-12-13 22:16:01.287;2023-12-19 03:23:53.767;2024-02-08 13:07:00.000;SI;SI;NO;NO;NULL;0;Catalogo
5-02137277;EM ELIC ELECTRIC;6000044432;1-08581477;MACOP S.A;hzepeda;10155390;2023-12-13 22:16:01.287;2023-12-19 03:23:53.767;2024-02-08 13:07:00.000;SI;SI;NO;NO;NULL;0;Directa
6-02137577;MA FADA LTDA;6000044398;1-08581477;MACOP S.A;kmerida;10153811;2023-12-14 00:11:01.477;2023-12-18 06:10:49.877;2024-02-16 20:00:00.000;SI;NO;NO;NO;NULL;0;Directa
0-04329769;ULPOLSA SA;6000044439;1-08581477;MACOP S.A;kmerida;10153828 10152416;2023-12-14 14:05:58.113;2023-12-18 05:30:07.400;2024-02-16 20:30:00.000;SI;NO;NO;NO;NULL;0;Catalogo
8-42353067;SEIALSA SA;6000044439;1-08581477;MACOP S.A;kmerida;10153828 10152416;2023-12-14 14:05:58.113;2023-12-18 05:30:07.400;2024-02-16 20:30:00.000;SI;NO;NO;NO;NULL;0;Catalogo
1-00070329;RHNA SA SA;6000044502;1-08581477;MACOP S.A;mperez;10155400;2023-12-18 17:25:56.563;2023-12-19 13:37:35.230;2024-02-06 13:00:00.000;SI;NO;NO;NO;NULL;0;Catalogo
1-08469869;SO CHSA SA;6000044502;1-08581477;MACOP S.A;mperez;10155400;2023-12-18 17:25:56.563;2023-12-19 13:37:35.230;2024-02-06 13:00:00.000;SI;NO;NO;NO;NULL;0;Catalogo
6-00130408;FEARIDA SOCLTDA;6000044502;1-08581477;MACOP S.A;mperez;10155400;2023-12-18 17:25:56.563;2023-12-19 13:37:35.230;2024-02-06 13:00:00.000;SI;NO;NO;NO;NULL;0;Catalogo
7-03006387;DAAGADA LIMITADA;6000044502;1-08581477;MACOP S.A;mperez;10155400;2023-12-18 17:25:56.563;2023-12-19 13:37:35.230;2024-02-06 13:00:00.000;NO;NO;NO;NO;NULL;0;Catalogo
8-03803487;ARGONSA SA;6000044502;1-08581477;MACOP S.A;mperez;10155400;2023-12-18 17:25:56.563;2023-12-19 13:37:35.230;2024-02-06 13:00:00.000;SI;NO;SI;NO;Fuera de mi rubro;0;Catalogo
8-05539177;SERALDA LTDA;6000044502;1-08581477;MACOP S.A;mperez;10155400;2023-12-18 17:25:56.563;2023-12-19 13:37:35.230;2024-02-06 13:00:00.000;SI;NO;SI;NO;Requerimiento Confuso, Falta Información;0;Catalogo
9-00050339;PRIALSA SA;6000044502;1-08581477;MACOP S.A;mperez;10155400;2023-12-18 17:25:56.563;2023-12-19 13:37:35.230;2024-02-06 13:00:00.000;SI;SI;NO;NO;NULL;0;Directa
9-67072367;CORRASA SA;6000044502;1-08581477;MACOP S.A;mperez;10155400;2023-12-18 17:25:56.563;2023-12-19 13:37:35.230;2024-02-06 13:00:00.000;NO;NO;NO;NO;NULL;0;Catalogo
K-02413187;INESIDA LIMITADA;6000044502;1-08581477;MACOP S.A;mperez;10155400;2023-12-18 17:25:56.563;2023-12-19 13:37:35.230;2024-02-06 13:00:00.000;SI;NO;NO;NO;NULL;0;Directa
8-00276668;IM TEDA LTDA;6000058024;6-00040629;EMNALEO SA;3dlopez;NULL;2023-12-18 19:40:56.380;2023-12-19 12:41:08.837;2024-02-10 02:00:00.000;SI;SI;NO;NO;NULL;0;Directa
8-00688377;ENR CDA LIMITADA;6000043573-1;1-08581477;MACOP S.A;hzepeda;10152185 10152189 10152190;2023-12-18 22:57:09.050;2023-12-18 22:57:31.800;2024-02-08 13:00:00.000;SI;SI;NO;NO;NULL;0;Directa
0-05260077;INOS SA SA;6000044532;1-08581477;MACOP S.A;hzepeda;10155702;2023-12-20 02:00:54.667;2023-12-20 02:36:20.880;2024-02-08 13:08:00.000;NO;NO;NO;NO;NULL;0;Directa
1-07985697;TEY CDA LTDA;6000044532;1-08581477;MACOP S.A;hzepeda;10155702;2023-12-20 02:00:54.667;2023-12-20 02:36:20.880;2024-02-08 13:08:00.000;SI;NO;SI;NO;Disponibilidad de Stock;0;Directa
2-09470569;SO CHSA SA;6000044532;1-08581477;MACOP S.A;hzepeda;10155702;2023-12-20 02:00:54.667;2023-12-20 02:36:20.880;2024-02-08 13:08:00.000;SI;SI;NO;NO;NULL;0;Directa
3274142-65;GLNDURP CORP;6000044532;1-08581477;MACOP S.A;hzepeda;10155702;2023-12-20 02:00:54.667;2023-12-20 02:36:20.880;2024-02-08 13:08:00.000;SI;NO;SI;NO;Requerimiento Confuso, Falta Información;0;Directa
3-61885377;FLTROPA SPA;6000044532;1-08581477;MACOP S.A;hzepeda;10155702;2023-12-20 02:00:54.667;2023-12-20 02:36:20.880;2024-02-08 13:08:00.000;SI;NO;NO;NO;NULL;0;Directa
